learner_id,quiz_question,week_number,step_number,question_number,response,submitted_at,correct
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.1,2,11,1,1,2015-11-25 13:31:07 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.1,2,11,1,2,2016-01-13 11:27:25 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.1,2,11,1,3,2016-01-13 11:27:37 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.1,2,11,1,4,2016-01-13 11:27:47 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.2,2,11,2,1,2016-01-13 11:30:19 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.2,2,11,2,2,2016-01-13 11:30:41 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.2,2,11,2,3,2016-01-13 11:30:52 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.2,2,11,2,4,2016-01-13 11:31:02 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.3,2,11,3,1,2016-01-13 11:32:23 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.3,2,11,3,2,2016-01-13 11:32:41 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.3,2,11,3,3,2016-01-13 11:33:03 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.3,2,11,3,4,2016-01-13 11:33:23 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.4,2,11,4,1,2016-01-13 11:35:19 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.4,2,11,4,2,2016-01-13 11:35:36 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.4,2,11,4,3,2016-01-13 11:35:54 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.4,2,11,4,4,2016-01-13 11:36:13 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.5,2,11,5,1,2016-01-13 11:37:40 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.5,2,11,5,2,2016-01-13 11:37:49 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.5,2,11,5,3,2016-01-13 11:37:59 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,2.11.5,2,11,5,4,2016-01-13 11:38:09 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.1,3,14,1,1,2016-01-13 13:39:22 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.1,3,14,1,2,2016-01-13 13:39:48 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.1,3,14,1,3,2016-01-13 13:40:03 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.1,3,14,1,4,2016-01-13 13:40:20 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.2,3,14,2,1,2016-01-13 13:41:33 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.2,3,14,2,2,2016-01-13 13:41:57 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.2,3,14,2,3,2016-01-13 13:42:06 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.2,3,14,2,4,2016-01-13 13:42:23 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.2,3,14,2,2,2016-01-13 13:42:53 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.3,3,14,3,1,2016-01-13 13:43:15 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.3,3,14,3,2,2016-01-13 13:43:29 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.3,3,14,3,3,2016-01-13 13:43:44 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.3,3,14,3,4,2016-01-13 13:44:02 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.3,3,14,3,2,2016-01-13 13:44:25 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.4,3,14,4,1,2016-01-13 13:44:46 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.4,3,14,4,2,2016-01-13 13:45:03 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.4,3,14,4,3,2016-01-13 13:45:18 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.4,3,14,4,4,2016-01-13 13:45:39 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.5,3,14,5,1,2016-01-13 13:46:26 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.5,3,14,5,2,2016-01-13 13:46:42 UTC,false
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.5,3,14,5,3,2016-01-13 13:46:55 UTC,true
d21ec1bf-de5d-4493-a853-814686b875e6,3.14.5,3,14,5,4,2016-01-13 13:47:08 UTC,false
